component_name	component_version	package_or_native_component	upstream_source	license_expression	selected_license_branch	distribution_kind	public_legal_file_path	legal_file_sha256	notice_path	verification_status
gpu-alloc-types	0.3.1	rust-package	https://crates.io/crates/gpu-alloc-types/0.3.1	MIT OR Apache-2.0	Apache-2.0	TARGET_LINKED_RUNTIME	licenses/dispatch2-0.3.1-Apache-2.0.txt-Apache-2_0-3ac6882286-074e6e32c86a.txt	074e6e32c86a4c0ef8b3ed25b721ca23aca83df277cd88106ef7177c354615ff		PASS
gpu-alloc-types	0.3.1	rust-package	https://crates.io/crates/gpu-alloc-types/0.3.1	MIT OR Apache-2.0	Apache-2.0	TARGET_LINKED_RUNTIME	licenses/gpu-alloc-0.6.2-COPYING-NOTICE-e3144c2665-12121dfa5886.txt	12121dfa588677007848ab922a45a1e3248868f6ff063598fceb3141d7897314	licenses/gpu-alloc-0.6.2-COPYING-NOTICE-e3144c2665-12121dfa5886.txt	PASS
gpu-descriptor	0.3.2	rust-package	https://crates.io/crates/gpu-descriptor/0.3.2	MIT OR Apache-2.0	Apache-2.0	TARGET_LINKED_RUNTIME	licenses/gpu-descriptor-0.3.2-COPYING-Apache-2_0-365682360f-f72143f7e9d9.txt	f72143f7e9d9fb8bd336b139fa22f825a299591c29f2f7338c5566347b137613		PASS
gpu-descriptor-types	0.2.0	rust-package	https://crates.io/crates/gpu-descriptor-types/0.2.0	MIT OR Apache-2.0	Apache-2.0	TARGET_LINKED_RUNTIME	licenses/gpu-descriptor-0.3.2-COPYING-Apache-2_0-365682360f-f72143f7e9d9.txt	f72143f7e9d9fb8bd336b139fa22f825a299591c29f2f7338c5566347b137613		PASS
hashbrown	0.15.5	rust-package	https://crates.io/crates/hashbrown/0.15.5	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/hashbrown-0.15.5-LICENSE-MIT-MIT-1c0ece5023-ff8f68cb076c.txt	ff8f68cb076caf8cefe7a6430d4ac086ce6af2ca8ce2c4e5a2004d4552ef52a2		PASS
hashbrown	0.17.1	rust-package	https://crates.io/crates/hashbrown/0.17.1	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/hashbrown-0.15.5-LICENSE-MIT-MIT-1c0ece5023-ff8f68cb076c.txt	ff8f68cb076caf8cefe7a6430d4ac086ce6af2ca8ce2c4e5a2004d4552ef52a2		PASS
hex	0.4.3	rust-package	https://crates.io/crates/hex/0.4.3	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/hex-0.4.3-LICENSE-MIT-MIT-0b04cc54c0-f7bdb3426d04.txt	f7bdb3426d045cd50efd4953026e3eb5a83d0199f458a075602611b9344da5b9		PASS
hexf-parse	0.2.1	rust-package	https://crates.io/crates/hexf-parse/0.2.1	CC0-1.0	CC0-1.0	TARGET_LINKED_RUNTIME	licenses/hexf-parse-0.2.1-CC0-1.0.txt-CC0-1_0-846e6aea5e-a2010f343487.txt	a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499		PASS
indexmap	2.14.0	rust-package	https://crates.io/crates/indexmap/2.14.0	Apache-2.0 OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/indexmap-2.14.0-LICENSE-MIT-MIT-a01eaf0f42-ecc269ef87fd.txt	ecc269ef87fd38a1d98e30bfac9ba964a9dbd9315c3770fed98d4d7cb5882055		PASS
itoa	1.0.18	rust-package	https://crates.io/crates/itoa/1.0.18	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		PASS
jiff	0.2.35	rust-package	https://crates.io/crates/jiff/0.2.35	Unlicense OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	PASS
